Time[S],CH4 Volt[V]
2.085e-005,456.000,
2.09e-005,472.000,
2.095e-005,488.000,
2.1e-005,512.000,
2.105e-005,520.000,
2.11e-005,536.000,
2.115e-005,560.000,
2.12e-005,568.000,
2.125e-005,584.000,
2.13e-005,592.000,
2.135e-005,608.000,
2.14e-005,624.000,
2.145e-005,640.000,
2.15e-005,656.000,
2.155e-005,664.000,
2.16e-005,680.000,
2.165e-005,688.000,
2.17e-005,696.000,
2.175e-005,704.000,
2.18e-005,712.000,
2.185e-005,720.000,
2.19e-005,728.000,
2.195e-005,728.000,
2.2e-005,736.000,
2.205e-005,736.000,
2.21e-005,744.000,
2.215e-005,744.000,
2.22e-005,752.000,
2.225e-005,752.000,
2.23e-005,752.000,
2.235e-005,744.000,
2.24e-005,752.000,
2.245e-005,744.000,
2.25e-005,752.000,
2.255e-005,744.000,
2.26e-005,744.000,
2.265e-005,744.000,
2.27e-005,728.000,
2.275e-005,728.000,
2.28e-005,720.000,
2.285e-005,712.000,
2.29e-005,704.000,
2.295e-005,696.000,
2.3e-005,688.000,
2.305e-005,672.000,
2.31e-005,664.000,
2.315e-005,656.000,
2.32e-005,640.000,
2.325e-005,624.000,
2.33e-005,608.000,
2.335e-005,600.000,
2.34e-005,592.000,
2.345e-005,568.000,
2.35e-005,560.000,
2.355e-005,536.000,
2.36e-005,528.000,
2.365e-005,504.000,
2.37e-005,488.000,
2.375e-005,472.000,
2.38e-005,448.000,
2.385e-005,432.000,
2.39e-005,416.000,
2.395e-005,392.000,
2.4e-005,368.000,
2.405e-005,360.000,
2.41e-005,328.000,
2.415e-005,312.000,
2.42e-005,296.000,
2.425e-005,272.000,
2.43e-005,248.000,
2.435e-005,224.000,
2.44e-005,200.000,
2.445e-005,184.000,
2.45e-005,160.000,
2.455e-005,136.000,
2.46e-005,112.000,
2.465e-005,88.000,
2.47e-005,64.000,
2.475e-005,40.000,
2.48e-005,16.000,
2.485e-005,-8.000,
2.49e-005,-24.000,
2.495e-005,-56.000,
2.5e-005,-72.000,
2.505e-005,-104.000,
2.51e-005,-120.000,
2.515e-005,-144.000,
2.52e-005,-168.000,
2.525e-005,-192.000,
2.53e-005,-216.000,
2.535e-005,-240.000,
2.54e-005,-264.000,
2.545e-005,-280.000,
2.55e-005,-304.000,
2.555e-005,-320.000,
2.56e-005,-352.000,
2.565e-005,-368.000,
2.57e-005,-384.000,
2.575e-005,-400.000,
2.58e-005,-424.000,
2.585e-005,-440.000,
2.59e-005,-464.000,
2.595e-005,-480.000,
2.6e-005,-496.000,
2.605e-005,-520.000,
2.61e-005,-528.000,
2.615e-005,-544.000,
2.62e-005,-560.000,
2.625e-005,-576.000,
2.63e-005,-592.000,
2.635e-005,-608.000,
2.64e-005,-616.000,
2.645e-005,-632.000,
2.65e-005,-648.000,
2.655e-005,-656.000,
2.66e-005,-664.000,
2.665e-005,-672.000,
2.67e-005,-680.000,
2.675e-005,-688.000,
2.68e-005,-696.000,
2.685e-005,-712.000,
2.69e-005,-712.000,
2.695e-005,-720.000,
2.7e-005,-720.000,
2.705e-005,-728.000,
2.71e-005,-736.000,
2.715e-005,-744.000,
2.72e-005,-744.000,
2.725e-005,-744.000,
2.73e-005,-736.000,
2.735e-005,-744.000,
2.74e-005,-736.000,
2.745e-005,-744.000,
2.75e-005,-736.000,
2.755e-005,-736.000,
2.76e-005,-728.000,
2.765e-005,-728.000,
2.77e-005,-720.000,
2.775e-005,-720.000,
2.78e-005,-704.000,
2.785e-005,-704.000,
2.79e-005,-704.000,
2.795e-005,-688.000,
2.8e-005,-672.000,
2.805e-005,-664.000,
2.81e-005,-648.000,
2.815e-005,-648.000,
2.82e-005,-632.000,
2.825e-005,-624.000,
2.83e-005,-608.000,
2.835e-005,-592.000,
2.84e-005,-576.000,
2.845e-005,-560.000,
2.85e-005,-544.000,
2.855e-005,-536.000,
2.86e-005,-512.000,
2.865e-005,-504.000,
2.87e-005,-480.000,
2.875e-005,-464.000,
2.88e-005,-440.000,
2.885e-005,-424.000,
2.89e-005,-408.000,
2.895e-005,-384.000,
2.9e-005,-368.000,
2.905e-005,-344.000,
2.91e-005,-328.000,
2.915e-005,-296.000,
2.92e-005,-280.000,
2.925e-005,-256.000,
2.93e-005,-240.000,
2.935e-005,-224.000,
2.94e-005,-192.000,
2.945e-005,-168.000,
2.95e-005,-144.000,
2.955e-005,-128.000,
2.96e-005,-104.000,
2.965e-005,-80.000,
2.97e-005,-56.000,
2.975e-005,-32.000,
2.98e-005,-8.000,
2.985e-005,8.000,
2.99e-005,40.000,
2.995e-005,64.000,
3e-005,80.000,
3.005e-005,104.000,
3.01e-005,136.000,
3.015e-005,160.000,
3.02e-005,176.000,
3.025e-005,200.000,
3.03e-005,232.000,
3.035e-005,248.000,
3.04e-005,264.000,
3.045e-005,288.000,
3.05e-005,312.000,
3.055e-005,328.000,
3.06e-005,352.000,
3.065e-005,376.000,
3.07e-005,392.000,
3.075e-005,416.000,
3.08e-005,432.000,
3.085e-005,448.000,
3.09e-005,472.000,
3.095e-005,488.000,
3.1e-005,504.000,
3.105e-005,528.000,
3.11e-005,536.000,
3.115e-005,560.000,
3.12e-005,576.000,
3.125e-005,584.000,
3.13e-005,600.000,
3.135e-005,616.000,
3.14e-005,632.000,
3.145e-005,640.000,
3.15e-005,656.000,
3.155e-005,672.000,
3.16e-005,672.000,
3.165e-005,688.000,
3.17e-005,696.000,
3.175e-005,704.000,
3.18e-005,712.000,
3.185e-005,720.000,
3.19e-005,728.000,
3.195e-005,728.000,
3.2e-005,736.000,
3.205e-005,744.000,
3.21e-005,736.000,
3.215e-005,752.000,
3.22e-005,752.000,
3.225e-005,752.000,
3.23e-005,752.000,
3.235e-005,752.000,
3.24e-005,752.000,
3.245e-005,760.000,
3.25e-005,752.000,
3.255e-005,744.000,
3.26e-005,736.000,
3.265e-005,736.000,
3.27e-005,728.000,
3.275e-005,728.000,
3.28e-005,720.000,
3.285e-005,712.000,
3.29e-005,704.000,
3.295e-005,696.000,
3.3e-005,688.000,
3.305e-005,680.000,
3.31e-005,664.000,
3.315e-005,656.000,
3.32e-005,640.000,
3.325e-005,624.000,
3.33e-005,616.000,
3.335e-005,600.000,
3.34e-005,592.000,
3.345e-005,568.000,
3.35e-005,560.000,
3.355e-005,544.000,
3.36e-005,520.000,
3.365e-005,512.000,
3.37e-005,496.000,
3.375e-005,472.000,
3.38e-005,456.000,
3.385e-005,432.000,
3.39e-005,416.000,
3.395e-005,392.000,
3.4e-005,376.000,
3.405e-005,352.000,
3.41e-005,328.000,
3.415e-005,312.000,
3.42e-005,288.000,
3.425e-005,272.000,
3.43e-005,248.000,
3.435e-005,224.000,
3.44e-005,200.000,
3.445e-005,176.000,
3.45e-005,160.000,
3.455e-005,136.000,
3.46e-005,112.000,
3.465e-005,88.000,
3.47e-005,64.000,
3.475e-005,40.000,
3.48e-005,16.000,
3.485e-005,-8.000,
3.49e-005,-32.000,
3.495e-005,-56.000,
3.5e-005,-80.000,
3.505e-005,-96.000,
3.51e-005,-128.000,
3.515e-005,-144.000,
3.52e-005,-168.000,
3.525e-005,-192.000,
3.53e-005,-216.000,
3.535e-005,-240.000,
3.54e-005,-256.000,
3.545e-005,-280.000,
3.55e-005,-304.000,
3.555e-005,-328.000,
3.56e-005,-344.000,
3.565e-005,-360.000,
3.57e-005,-384.000,
3.575e-005,-400.000,
3.58e-005,-424.000,
3.585e-005,-440.000,
3.59e-005,-456.000,
3.595e-005,-480.000,
3.6e-005,-496.000,
3.605e-005,-520.000,
3.61e-005,-528.000,
3.615e-005,-544.000,
3.62e-005,-560.000,
3.625e-005,-584.000,
3.63e-005,-592.000,
3.635e-005,-608.000,
3.64e-005,-616.000,
3.645e-005,-632.000,
3.65e-005,-640.000,
3.655e-005,-648.000,
3.66e-005,-664.000,
3.665e-005,-680.000,
3.67e-005,-680.000,
3.675e-005,-688.000,
3.68e-005,-704.000,
3.685e-005,-704.000,
3.69e-005,-720.000,
3.695e-005,-720.000,
3.7e-005,-728.000,
3.705e-005,-728.000,
3.71e-005,-728.000,
3.715e-005,-736.000,
3.72e-005,-744.000,
3.725e-005,-736.000,
3.73e-005,-744.000,
3.735e-005,-744.000,
3.74e-005,-744.000,
3.745e-005,-736.000,
3.75e-005,-736.000,
3.755e-005,-736.000,
3.76e-005,-728.000,
3.765e-005,-728.000,
3.77e-005,-720.000,
3.775e-005,-712.000,
3.78e-005,-712.000,
3.785e-005,-704.000,
3.79e-005,-688.000,
3.795e-005,-680.000,
3.8e-005,-680.000,
3.805e-005,-664.000,
3.81e-005,-656.000,
3.815e-005,-648.000,
3.82e-005,-632.000,
